t,alpha_bar,alpha_bar_lambda_max,r_ode_lincomb,r_cellunet
461,0.1136947124387067,5.385953752407264,0.9995695,0.00043052435
462,0.11263701018746385,5.335848208474584,0.9995473,0.00045269728
463,0.11158690402321764,5.286102506898559,0.99952424,0.00047576427
464,0.11054436511560933,5.2367152819254486,0.9994998,0.0005002022
465,0.10950936445027167,5.187685159084647,0.9994742,0.0005257726
466,0.10848187283285252,5.139010755379293,0.99944717,0.0005528331
467,0.10746186089301914,5.090690679475961,0.999419,0.0005810261
468,0.10644929908844249,5.0427235318934045,0.99938905,0.0006109476
469,0.10544415770876153,4.995107905190351,0.9993579,0.00064212084
470,0.10444640687952715,4.947842384152339,0.9993249,0.0006750822
471,0.10345601656612537,4.900925545977566,0.99929035,0.0007096529
472,0.10247295657767966,4.854355960461749,0.9992539,0.00074607134
473,0.10149719657093208,4.808132190181981,0.9992157,0.0007842779
474,0.10052870605410284,4.762252790679569,0.9991756,0.00082439184
475,0.09956745439072825,4.716716310641844,0.9991334,0.00086659193
476,0.09861341080347663,4.671521292082928,0.999089,0.0009109974
477,0.09766654437794199,4.62666627052345,0.9990422,0.00095778704
478,0.09672682406641525,4.5821497751691975,0.9989932,0.001006782
479,0.09579421869163277,4.537970329088688,0.9989417,0.0010582805
480,0.09486869695050186,4.4941264493896576,0.9988875,0.0011125207
481,0.09395022741780329,4.4506166473944555,0.9988305,0.0011695027
482,0.09303877854987024,4.407439428814322,0.99877053,0.001229465
483,0.09213431868824369,4.364593293922558,0.99870765,0.0012923479
484,0.09123681606330411,4.3220767377265545,0.99864143,0.0013585687
485,0.09034623879787898,4.2798882501387,0.9985719,0.0014281273
486,0.0894625549108262,4.238026316146127,0.9984988,0.0015012026
487,0.0885857323205931,4.19648941597931,0.998422,0.0015779734
488,0.08771573884875068,4.155276025279496,0.9983412,0.0016587973
489,0.08685254222350337,4.114384615264958,0.99825627,0.0017437339
490,0.08599611008317352,4.073813652896075,0.99816704,0.001832962
491,0.08514640997966103,4.033561601039212,0.9980732,0.0019267797
492,0.08430340938187741,3.993626918629404,0.9979747,0.0020253062
493,0.08346707567915466,3.9540080608318386,0.99787104,0.0021289587
494,0.0826373761846283,3.9147034792021183,0.9977621,0.002237916
495,0.08181427813859474,3.875711621845309,0.9976477,0.0023522973
496,0.08099774871184275,3.8370309335737525,0.9975274,0.0024725795
497,0.0801877550089588,3.7986598560636535,0.997401,0.002599001
498,0.07938426407160627,3.7605968280104176,0.9972681,0.0027319193
499,0.07858724288177824,3.7228402852827456,0.9971284,0.002871573
500,0.07779665836502389,3.685388661075475,0.99698156,0.0030184388
501,0.0770124773936484,3.648240386061163,0.9968273,0.0031726956
502,0.07623466678988594,3.6113938885404004,0.9966652,0.0033348203
503,0.07546319332904607,3.574847594590863,0.9964948,0.0035051703
504,0.07469802374263308,3.538599928215079,0.9963158,0.0036842227
505,0.0739391247214384,3.5026493114869246,0.99612767,0.003872335
506,0.07318646291860585,3.4669941646968305,0.9959299,0.004070103
507,0.07244000495266965,3.4316329064957003,0.99572206,0.0042779446
508,0.07169971741056524,3.396563954037537,0.9955037,0.0044962764
509,0.07096556685061263,3.3617857231207706,0.9952743,0.0047256947
510,0.07023751980547224,3.3272966283282854,0.99503314,0.004966855
511,0.06951554278507341,3.2930950831661456,0.99477994,0.0052200556
512,0.06879960227951507,3.259179500201009,0.99451375,0.00548625
513,0.06808966476193888,3.2255482911962323,0.994234,0.0057659745
514,0.06738569669137463,3.1921998672466625,0.99394023,0.006059766
515,0.0666876645155578,3.1591326389121126,0.99363154,0.0063684583
516,0.0659955346737193,3.1263450163495174,0.9933072,0.0066928267
517,0.06530927359934739,3.0938354094437694,0.9929664,0.0070335865
518,0.0646288477229216,3.0616022279372315,0.9926085,0.0073915124
519,0.06395422347461867,3.0296438815579223,0.99223244,0.007767558
520,0.06328536728699057,2.9979587801463814,0.99183744,0.008162558
521,0.06262224559761442,2.9665453337811996,0.9914225,0.008577526
522,0.06196482485171442,2.935401952903225,0.99098665,0.009013355
523,0.06131307150475559,2.904527048438434,0.9905289,0.009471118
524,0.06066695202500953,2.8739190319194794,0.99004817,0.00995183
525,0.060026432896092025,2.8435763156058984,0.9895433,0.010456681
526,0.05939148061947253,2.813497312602993,0.9890131,0.010986924
527,0.058762061716955534,2.7836804369793793,0.98845625,0.011543751
528,0.058138142733133794,2.754124103883199,0.9878715,0.012128472
529,0.05751969023781346,2.724826729657006,0.98725766,0.012742341
530,0.05690667082841108,2.695786731951315,0.9866131,0.013386905
531,0.056299051132322496,2.667002529836822,0.9859364,0.014063597
532,0.05569679780926365,2.638472543915294,0.985226,0.0147740245
533,0.05509987755358331,2.610195196429124,0.9844802,0.015519798
534,0.05450825709654777,2.582168911369568,0.9836975,0.016302526
535,0.05392190320859747,2.55439211458364,0.982876,0.017123997
536,0.053340782701575724,2.526863233879694,0.98201376,0.017986238
537,0.052764862430929343,2.499580699131673,0.9811091,0.018890917
538,0.05219410929788143,2.472542942382036,0.98015976,0.01984024
539,0.051628490251576266,2.44574839794337,0.9791637,0.020836294
