annotation,label,real_fraction,generated_fraction,difference,timestep
celltype,Osteogenic,0.013488508607378482,0.0,-0.013488508607378482,900
celltype,Osteoprogenitor,0.0012824930132843307,0.0,-0.0012824930132843307,900
celltype,Pericyte,0.01838878041933055,0.0,-0.01838878041933055,900
celltype,Peripheral neuroblast,0.009743118563607826,0.0,-0.009743118563607826,900
celltype,Perivascular fibroblast,0.0058701172747342495,0.0,-0.0058701172747342495,900
celltype,Pia,0.056761481821778134,0.0016666666666666668,-0.05509481515511147,900
celltype,Pia-forebrain,0.05081479779998213,0.0,-0.05081479779998213,900
celltype,Pinealocyte,0.005276724985005679,0.0,-0.005276724985005679,900
celltype,Platelets,0.00028712530148156654,0.0,-0.00028712530148156654,900
celltype,Pontine nuclei lineage intermediate progenitor,0.004511057514388168,0.0,-0.004511057514388168,900
celltype,Pontine nuclei lineage migrating neuron,0.0034263619310133608,0.0,-0.0034263619310133608,900
celltype,Pre-EMT neural crest,0.008677564666998455,0.0,-0.008677564666998455,900
celltype,Pre-EMT neural crest epithelia,0.0012633513265188929,0.0,-0.0012633513265188929,900
celltype,Precursor/CFU-E,0.0285657772162883,0.0,-0.0285657772162883,900
celltype,Presumptive neuroretina,0.00017227518088893992,0.0,-0.00017227518088893992,900
celltype,Primary meninx,0.03499100340722024,0.013,-0.021991003407220246,900
celltype,Primary meninx-hindbrain,0.013265188928448374,0.081,0.06773481107155163,900
celltype,Primary vascular plexus,0.006233809323277567,0.0,-0.006233809323277567,900
celltype,Promyelocytes,0.0006252951010043005,0.0,-0.0006252951010043005,900
celltype,Rathkes pouch,0.0009507037760167426,0.0,-0.0009507037760167426,900
celltype,Reticulocyte/RBC,0.0987711037096589,0.0013333333333333333,-0.09743777037632556,900
celltype,S100A12-high monocytes,0.0001403723696132103,0.0,-0.0001403723696132103,900
celltype,Schwann cell,0.0051427331776476145,0.0,-0.0051427331776476145,900
celltype,Schwann cell precursor,0.01374373109758432,0.0,-0.01374373109758432,900
celltype,Smooth muscle cell,0.004587624261449919,0.0,-0.004587624261449919,900
celltype,"Smooth muscle cell, mature",0.003579495425136863,0.0,-0.003579495425136863,900
celltype,Spinal cord radial glia,7.656674706175108e-05,0.0,-7.656674706175108e-05,900
celltype,Tip cell,0.0018886464275231934,0.0,-0.0018886464275231934,900
celltype,Tip cell - arterial,0.002239577351556219,0.0,-0.002239577351556219,900
celltype,Venous capillary,0.01723389865114914,0.0,-0.01723389865114914,900
celltype,Venous lymphatic-like,0.002667075022650996,0.0,-0.002667075022650996,900
celltype,Venous lymphatic-like - non-leptomeningeal,0.0006827201613006138,0.0,-0.0006827201613006138,900
celltype,Ventral forebrain radial glia,0.00283296964128479,0.0,-0.00283296964128479,900
Superclass,Epithelial,0.04417263249237523,0.015333333333333332,-0.028839299159041897,700
Superclass,Erythropoietic,0.2337774204662915,0.129,-0.10477742046629149,700
Superclass,Fibroblast,0.45721194951699146,0.7033333333333334,0.2461213838163419,700
Superclass,Immune,0.05434324872707783,0.045,-0.009343248727077834,700
Superclass,Neural,0.0752906346107219,0.051666666666666666,-0.023623967944055232,700
Superclass,Neural crest,0.041090820923139745,0.012333333333333333,-0.02875748758980641,700
Superclass,Other,0.0009507037760167426,0.0,-0.0009507037760167426,700
Superclass,Vascular endothelial,0.04750966655181654,0.033,-0.014509666551816541,700
Superclass,Vascular perivascular,0.04565292293556908,0.010333333333333333,-0.035319589602235746,700
celltype,Anteromedial cerebral pole glioblast,0.0011421206436711203,0.0,-0.0011421206436711203,700
celltype,Anteromedial cerebral pole radial glia,0.001837601929482026,0.0023333333333333335,0.0004957314038513076,700
celltype,Arachnoid,0.00877965366308079,0.0,-0.00877965366308079,700
celltype,Arachnoid barrier,0.0032285645011038374,0.0,-0.0032285645011038374,700
celltype,Arachnoid-dura border,0.0011165983946505365,0.0,-0.0011165983946505365,700
celltype,Arachnoid-forebrain,0.013016347000497685,0.0,-0.013016347000497685,700
celltype,Arachnoid-hindbrain,0.019530901063001673,0.013333333333333334,-0.006197567729668339,700
celltype,Arterial capillary,0.004574863136939627,0.0006666666666666666,-0.00390819647027296,700
celltype,Arteriole,0.0028521113280502277,0.0,-0.0028521113280502277,700
celltype,Artery,0.006201906512001838,0.0016666666666666668,-0.004535239845335171,700
celltype,B lineage,0.00016589461863379402,0.0,-0.00016589461863379402,700
celltype,CD56-bright NK cells,0.0005933922897285709,0.0,-0.0005933922897285709,700
celltype,ChP Ciliogenic progenitor,0.017163712466342535,0.005,-0.012163712466342534,700
celltype,ChP Committed arachnoid precursor,0.0005359672294322575,0.0,-0.0005359672294322575,700
celltype,ChP Differentiated epithelia,0.029861031354082922,0.012666666666666666,-0.017194364687416256,700
celltype,ChP Epithelia,0.0022012939780253434,0.009,0.006798706021974656,700
celltype,ChP Epithelial progenitor,0.0011995457039674336,0.0,-0.0011995457039674336,700
celltype,ChP Fibroblast,0.0008677564666998456,0.0,-0.0008677564666998456,700
celltype,ChP Macrophage,0.0003573114862881717,0.0,-0.0003573114862881717,700
celltype,ChP Macrophages,0.001595140563786481,0.0,-0.001595140563786481,700
celltype,ChP Meningeal fibroblast,0.020526268774804436,0.006333333333333333,-0.014192935441471103,700
celltype,ChP Microglia,0.0012824930132843307,0.0003333333333333333,-0.0009491596799509974,700
celltype,ChP PTPRC+ fibroblast,0.015645138649617803,0.001,-0.014645138649617803,700
celltype,ChP Pericyte,0.006833582175261284,0.0,-0.006833582175261284,700
celltype,ChP Perivascular,0.0063933233796562156,0.0003333333333333333,-0.0060599900463228825,700
celltype,ChP Reticulocyte/RBC,0.004989599683524112,0.005333333333333333,0.0003437336498092209,700
celltype,Chondrocyte,0.002826589079029644,0.0,-0.002826589079029644,700
celltype,Chondrogenic,0.05543432487270778,0.10166666666666667,0.04623234179395889,700
celltype,Committed arachnoid precursor,0.005436239041384327,0.0,-0.005436239041384327,700
celltype,Committed arachnoid precursor-forebrain,0.03382336051452854,0.006666666666666667,-0.027156693847861874,700
celltype,Committed arachnoid precursor-pia junction,0.018235646925207048,0.018333333333333333,9.768640812628585e-05,700
celltype,Committed dura precursor,0.0016461850618276483,0.0023333333333333335,0.0006871482715056852,700
celltype,Committed dura precursor-early,0.0008486147799344078,0.0,-0.0008486147799344078,700
celltype,Committed dura precursor-forebrain,0.011797659609764812,0.0003333333333333333,-0.011464326276431479,700
celltype,Committed oligodendrocyte progenitor,0.0001403723696132103,0.0,-0.0001403723696132103,700
celltype,Committed pia precursor,0.02905069994767939,0.362,0.3329493000523206,700
celltype,Committed pia precursor-anterior,0.015160215918226715,0.014666666666666666,-0.0004935492515600482,700
celltype,Cycling erythroblast,0.02036675471842579,0.003,-0.01736675471842579,700
celltype,Dendritic cells,0.0017355129333996911,0.0003333333333333333,-0.0014021796000663579,700
celltype,Early precursor/BFU-E,0.011012850452381864,0.003,-0.008012850452381863,700
celltype,Endothelial,0.0005614894784528412,0.0,-0.0005614894784528412,700
celltype,Erythroblast,0.07007133468601254,0.030666666666666665,-0.039404668019345876,700
celltype,Fatty acid metabolic - non-leptomeningeal,0.0020673021706672794,0.0003333333333333333,-0.0017339688373339461,700
celltype,Fibroblast-TAGAP,0.014120184270637928,0.0,-0.014120184270637928,700
celltype,Forebrain hem radial glia,0.0004976838559013821,0.0,-0.0004976838559013821,700
celltype,Forebrain neuroblast,0.0006635784745351761,0.0,-0.0006635784745351761,700
celltype,Forebrain neuron,0.00033178923726758804,0.0003333333333333333,1.5440960657452812e-06,700
celltype,Forebrain progenitor,0.013871342342687238,0.001,-0.012871342342687237,700
celltype,Forebrain radial glia,0.0004849227313910902,0.0,-0.0004849227313910902,700
celltype,Hindbrain,0.007465257838520731,0.0003333333333333333,-0.0071319245051873975,700
celltype,Hindbrain epithelia,0.0018056991182062963,0.0,-0.0018056991182062963,700
celltype,Hindbrain glioblast,0.001837601929482026,0.0,-0.001837601929482026,700
celltype,Hypothalamus interneuron,0.0008613759044446996,0.0006666666666666666,-0.000194709237778033,700
celltype,ILC precursors,0.0005168255426668198,0.0,-0.0005168255426668198,700
celltype,Inner dura,0.007139849163508289,0.0,-0.007139849163508289,700
celltype,Isthmus radial glia,0.00023608080344039917,0.0003333333333333333,9.725252989293415e-05,700
celltype,LTMR mechanoreceptor,0.00034455036177787984,0.0,-0.00034455036177787984,700
celltype,Large artery,0.00030626698824700433,0.0,-0.00030626698824700433,700
celltype,MEMP-MEP,0.00012123068284777255,0.0,-0.00012123068284777255,700
celltype,Macrophages,0.017935760499215192,0.018,6.423950078480664e-05,700
celltype,Macrophages Monocyte-like,0.012467618646555134,0.021666666666666667,0.009199048020111534,700
celltype,Macrophages-innate immunity,0.00010208899608233478,0.0,-0.00010208899608233478,700
celltype,Macrophages-iron metabolism,0.0066294041830966145,0.0003333333333333333,-0.006296070849763281,700
celltype,Mast cells,0.000504064418156528,0.0003333333333333333,-0.00017073108482319467,700
celltype,Megakaryocytes,0.0006380562255145924,0.0,-0.0006380562255145924,700
celltype,Metamyelocytes,0.0013143958245600603,0.0003333333333333333,-0.000981062491226727,700
celltype,Microglia,0.0014356265074078327,0.0006666666666666666,-0.0007689598407411661,700
celltype,Midbrain hem epithelia,0.0030562893202148974,0.012333333333333333,0.009277044013118435,700
celltype,Midbrain hem progenitor,0.0016142822505519187,0.0003333333333333333,-0.0012809489172185854,700
celltype,Midbrain hem radial glia,0.004574863136939627,0.0016666666666666668,-0.0029081964702729604,700
celltype,Midbrain intermediate progenitor,0.0034263619310133608,0.0016666666666666668,-0.001759695264346694,700
celltype,Midbrain interneuron,0.0006380562255145924,0.0,-0.0006380562255145924,700
celltype,Midbrain neuroblast,0.00214386891772903,0.0006666666666666666,-0.0014772022510623635,700
celltype,Midbrain progenitor,0.002424613656955451,0.005,0.002575386343044549,700
celltype,Midbrain-hindbrain epithelia,0.0031137143805112107,0.007333333333333333,0.004219618952822123,700
celltype,Midbrain-hindbrain progenitor,0.0072419381595906235,0.0023333333333333335,-0.0049086048262572905,700
celltype,Monocyte-fibrocyte,0.0003764531730536095,0.0,-0.0003764531730536095,700
celltype,Monocytes,0.005895639523754833,0.004666666666666667,-0.0012289728570881661,700
celltype,Neural crest progenitor,0.0021757717290047597,0.0006666666666666666,-0.0015091050623380932,700
celltype,Oligodendrocyte progenitor,0.00010208899608233478,0.0,-0.00010208899608233478,700
